平均気温(℃)	平均湿度(％)	日照時間(時間)	平均風速(m/s)	平均蒸気圧(hPa)	平均現地気圧(hPa)	平均海面気圧(hPa)
6.4	89	1.7	2.4	8.7	1018.7	1019.4
9.1	90	0.3	2.4	10.4	1015.8	1016.5
2	62	1.9	6.9	4.4	1012.7	1013.4
3.1	64	4.2	5.9	4.8	1017	1017.7
2.4	65	0.2	6.6	4.7	1017.9	1018.6
1.9	61	3.8	6.4	4.3	1021.6	1022.3
3.9	74	3.2	3.4	5.9	1022.7	1023.4
4	94	2	3.1	7.6	1021.4	1022.1
5	91	2.4	3.2	8	1020.2	1020.9
7.2	76	2.1	3.2	7.7	1011	1011.7
4.1	88	2.8	2.1	7.1	1022.8	1023.5
6.1	91	0.1	2.7	8.5	1019.1	1019.8
7	84	3.4	2.2	8.3	1016.8	1017.5
-0.6	75	3.1	5.4	4.4	1009.9	1010.6
1.9	94	0.2	1.8	6.6	1019.2	1019.9
2	73	7.3	3	5.1	1014.2	1014.9
2	83	0.5	7.8	5.9	1003.8	1004.5
-1.3	89	0.1	2.5	4.9	1009.7	1010.4
3.3	88	0.3	2.9	6.8	1013.9	1014.6
4.7	73	0.2	3.6	6.3	1019.4	1020.1
3.2	75	6.9	1.9	5.7	1020.7	1021.4
-0.3	70	1.6	6.5	4.3	1021.6	1022.3
0.6	73	2.2	2.9	4.6	1030.7	1031.4
-0.1	79	9.3	1.9	4.8	1025.3	1026
3	79	0.7	1.7	5.9	1022.3	1023
4.9	75	3.9	1.8	6.4	1021	1021.7
4.4	83	6.3	1.3	6.8	1027	1027.7
4.5	72	3.1	3.5	5.9	1020.5	1021.2
5.8	75	0.8	3.4	6.9	1016.2	1016.9
4	59	0.1	3.7	4.8	1010.9	1011.6
1.7	68	0.8	9.2	4.8	1005.3	1006
1.1	77	2.1	6	5.1	1018.2	1018.9
1.9	72	3.8	4	5	1028.4	1029.1
2.1	75	5.8	2.7	5.3	1020.1	1020.8
0.6	89	0.3	4.2	5.6	1016.2	1016.9
1.5	85	0.3	5.8	5.8	1014.5	1015.2
2.1	78	2.9	3.3	5.6	1019.3	1020
6.5	73	3.4	2.5	7.1	1013	1013.7
6.2	76	0.1	4.1	7.2	1012.5	1013.2
0.6	71	0.9	5.2	4.5	1014.5	1015.2
1.4	67	5	6.3	4.5	1018.5	1019.2
4.6	81	1.5	3.9	6.9	1018.2	1018.9
5.5	64	3.3	3.3	5.7	1022.6	1023.3
3.6	78	7.7	1.3	5.9	1026.6	1027.3
7.4	59	9.8	2	5.8	1024.9	1025.6
10.2	61	8.5	2.2	7.4	1018.3	1019
3.7	69	1.1	9.8	5.5	1000.7	1001.4
1.2	67	0.4	5.2	4.5	1005.1	1005.8
6.9	72	1.6	5.3	7.3	1007.1	1007.8
10.7	76	4.4	3.5	9.9	1010.7	1011.4
12.4	68	9.2	4.8	9.7	1008.5	1009.2
4	65	4.9	6.4	5.5	1016.1	1016.8
2	61	6.7	4.8	4.3	1023.8	1024.5
3.4	53	5.6	2.5	4.1	1024.9	1025.6
4.8	57	5	3.2	4.9	1023.5	1024.2
1.4	60	5.2	3.5	4.1	1031.1	1031.8
4.5	60	10.7	2.3	4.9	1030.9	1031.6
10.4	51	8.8	3	6.1	1020.5	1021.2
1.9	65	1.1	3.1	4.5	1029.2	1029.9
7.2	56	9.4	4.7	5.6	1028.3	1029
10.6	64	2.5	2.8	8.1	1021.1	1021.8
2.8	60	8.6	2.3	4.5	1028.7	1029.4
3.7	66	4.7	1.4	5.1	1027.5	1028.2
5	68	10.5	1.5	5.9	1023.1	1023.8
6.5	63	7.5	3.7	6	1024.8	1025.5
5.2	69	10.8	1.4	6	1028.3	1029
7.4	66	2.8	1.6	6.7	1023.4	1024.1
9.9	82	0.5	3.1	9.9	1010.3	1011
8.3	77	7.9	2.9	8.3	1016.9	1017.6
7.2	78	0.4	2.9	8.1	1010.4	1011.1
7.1	58	6.5	3.5	5.8	1017.4	1018.1
7.7	62	2.3	3.3	6.5	1021.6	1022.3
6.8	69	9.3	2.2	6.8	1022.3	1023
9	71	8.4	2.5	8.1	1017.4	1018.1
13.4	81	1.3	4.8	12.3	1004.5	1005.2
8.6	58	6.2	4.8	6.5	1011.7	1012.4
6.7	74	6.2	3.3	7.1	1020.5	1021.2
10.7	58	11	2.4	7.2	1022.4	1023.1
11.6	72	1.3	2.3	9.7	1017.9	1018.6
9.5	80	1.3	3.2	9.5	1018.6	1019.3
9.7	69	3.4	1.9	8.1	1020.7	1021.4
14.7	77	6.4	3.2	12.8	1005	1005.7
13.3	65	4.6	1.8	9.6	1009.6	1010.3
11	73	8.8	2.3	9.5	1015.4	1016.1
9.9	72	11.1	2.1	8.8	1022.9	1023.6
14.2	60	11.5	3.1	9.4	1024.5	1025.2
16.8	58	10.2	3.4	10.9	1018.4	1019.1
9.2	73	2.7	3.2	8.4	1017.1	1017.8
9.9	68	9	2	8.2	1017.3	1018
10.7	68	9.5	2.9	8.6	1015.7	1016.4
7.9	69	7.3	2.6	7.1	1016.4	1017.1
6.5	64	7.9	3.8	6.1	1023.3	1024
6.9	61	10.5	2.2	5.9	1032.2	1032.9
7.7	61	12.5	1.7	6.3	1033.5	1034.2
13	55	11.1	2.6	7.9	1027.6	1028.3
16.5	61	1.6	5.1	11.2	1012.3	1013
7.6	60	10.8	2.3	6	1021.8	1022.5
14.9	49	7.4	4.2	8.1	1021.4	1022.1
9.6	83	0.8	8.9	9.9	1000.1	1000.8
12.5	64	7.5	6	9.2	1011.1	1011.8
13.2	66	12	3.6	9.9	1015.6	1016.3
11.9	59	12.7	2	7.9	1022.7	1023.4
11.5	64	12.3	2.6	8.7	1022.4	1023.1
11.3	74	12.4	2.1	9.8	1022.5	1023.2
12.5	75	11.1	1.6	10.8	1018.7	1019.4
11.2	69	1.2	3.1	9.4	1016.3	1017
9	53	9.1	3.4	6.1	1022.1	1022.8
10.1	61	12.8	1.6	7.3	1021.9	1022.6
14.5	66	0.3	2.1	11.1	1017.9	1018.6
12	84	2.7	2.5	11.8	1004.3	1005
14.6	77	3.1	2.9	12.6	1003.6	1004.3
11.7	78	1.7	5.1	10.7	1002.5	1003.2
12.4	78	3.2	6	11.3	1013.6	1014.3
15.7	63	12.1	2.8	10.7	1016.8	1017.5
15.4	74	0.5	2.6	12.7	1011.9	1012.6
16.6	68	11.8	2	12.2	1017	1017.7
17.8	67	6.5	2.4	13.3	1005.4	1006.1
15.7	73	4.4	3.7	12.9	1004.1	1004.8
15.2	64	9.6	3.8	10.8	1011.7	1012.4
14.4	65	13.5	1.9	10.5	1017.1	1017.8
15.3	62	11.8	2.7	10.6	1018.2	1018.9
19.4	56	13.5	3.3	12.3	1013.2	1013.9
17.9	73	8.1	2	14.8	1013.7	1014.4
22.3	59	12.4	3.8	15.2	1013.2	1013.9
20.9	76	0.1	3.7	18.7	1008.1	1008.8
15.3	91	0.1	1.4	15.8	1010.6	1011.3
18.7	80	6.5	1.9	17	1012.3	1013
18.1	77	1.7	4	15.9	1004.8	1005.5
16	86	1.7	4.3	15.5	1007.6	1008.3
18.9	75	7.2	1.8	16.1	1006.5	1007.2
17.7	80	5	3.4	16	1004	1004.7
16.8	67	10.4	4.3	12.7	1009.8	1010.5
18.8	78	10	3.4	16.8	1003.5	1004.2
18	78	4.8	3.7	16.1	1002.6	1003.3
16.2	76	7.3	2.3	14	1009.9	1010.6
15.8	79	11.1	2.3	14	1013.8	1014.5
16.5	81	9.6	2	15.1	1016.3	1017
19.6	76	8.9	1.5	17.1	1016.5	1017.2
23.4	63	9.5	3.7	17.4	1010.5	1011.2
20.2	64	10	2.4	14.4	1003.7	1004.4
21.2	66	6.1	2.4	16.3	1008.2	1008.8
21.4	73	7.3	1.5	18.6	1013.7	1014.4
20.7	75	2.8	2.1	18.2	1014.5	1015.2
19.3	85	10.3	1.7	19	1017.4	1018.1
21.6	75	13.9	1.7	18.8	1017.5	1018.2
24	64	11.9	2.8	18.5	1015.8	1016.5
23.7	66	5.9	2.2	19.2	1015	1015.7
21.9	79	0.3	1.7	20.7	1011.2	1011.9
20.6	89	0.1	2.1	21.5	1007.5	1008.2
20.2	85	5.9	2	20.2	1006.7	1007.4
21.2	85	11.3	2.1	21.4	1005.9	1006.6
22.2	76	14.2	3.2	20.3	1005.4	1006.1
22.6	76	7.9	1.9	20.6	1003.5	1004.1
21.1	80	6.1	2.5	19.8	1001.3	1002
20.4	79	9.5	1.7	18.8	1004.5	1005.2
21.4	85	8.5	2	21.5	1007.3	1008
20.7	87	1.9	2	21.1	1010.4	1011.1
21.2	82	8.2	1.7	20.6	1011.9	1012.6
22.1	79	13	1.8	20.8	1012.3	1013
23.5	79	11.2	1.8	22.7	1012.3	1013
22.8	86	0.7	1.7	24	1009	1009.7
23.4	84	7.4	1.9	24.1	1005	1005.7
24	72	1.7	2.9	21.3	1003.4	1004.1
24.8	68	8.7	3.8	21.2	1009.3	1010
26.1	63	9.4	5.5	20.9	1008.9	1009.6
26.8	67	9.5	4	23.3	1008.1	1008.7
25.2	85	10	2.2	27.1	1008.9	1009.6
23.4	87	0.7	2.2	24.8	1009.5	1010.2
23.6	88	3.1	1.6	25.6	1007.1	1007.8
24	92	0.1	2.3	27.4	1006.2	1006.8
24.7	90	2.2	2.6	28.1	1008.7	1009.4
23.9	92	1.3	2.2	27.3	1010.9	1011.6
23.7	91	1.7	2	26.8	1011.1	1011.8
24.8	87	7.7	1.5	27.1	1012.5	1013.2
25.9	79	11.4	2.1	26.3	1014.4	1015
27.2	72	10.3	2.8	25.7	1016.8	1017.4
27.3	77	13.5	2.1	27.6	1017.8	1018.5
27.8	79	13.8	2.1	29.3	1015.4	1016.1
27.3	82	13.7	1.9	29.5	1014.4	1015.1
27.5	82	13.8	2	30	1014.8	1015.5
27.6	81	13.6	2.1	29.5	1014.6	1015.3
27.3	84	13.2	2.1	30.4	1013.5	1014.2
27.3	84	12.4	1.8	30.1	1011.8	1012.5
27.9	80	9.2	1.7	30	1010.4	1011
27.9	79	12.9	1.6	29.6	1009.8	1010.4
28.6	73	13.3	2.3	28.6	1008.6	1009.2
28.2	70	9.5	2.6	26.8	1004.7	1005.3
26	84	1.1	1.9	28.1	999.5	1000.1
26.5	81	3.9	2.6	28	999.7	1000.3
26.6	77	6.1	2.2	26.6	1001.2	1001.8
27.6	76	12.4	2.2	27.8	1001.5	1002.1
27.9	76	12.7	2	28.4	1001.7	1002.3
27.8	79	2.2	1.8	29.2	1002.2	1002.8
29.6	72	12.7	2.3	29.6	1006	1006.6
31.9	63	12.3	3.2	29.3	1008.9	1009.5
30.4	76	9.6	2.1	32.6	1009.9	1010.5
30.1	76	12.1	2	32.3	1006.7	1007.3
30.8	72	12.5	2.6	31.5	1004.1	1004.7
31.4	62	10.1	4.4	28.1	1003.1	1003.7
29.8	74	7.9	2.7	30.8	1001.6	1002.2
29.6	74	3.8	4.9	30.4	993.4	994
25.8	83	3.6	6.2	27.4	999.6	1000.2
25.3	76	4	2.5	24.5	1012	1012.6
25.4	79	1.3	1.8	25.3	1011.1	1011.8
23	80	3.2	1.9	22.3	1010.7	1011.4
24.2	71	2	2.7	21.5	1014.9	1015.6
22.9	88	1.6	2.3	24.6	1012.2	1012.9
25	84	1	2.6	26.5	1009.5	1010.2
25.8	83	6.2	1.6	27.4	1013.7	1014.4
26.9	79	10.9	1.9	27.7	1015.8	1016.5
27.1	78	4.3	2.1	27.9	1013.5	1014.2
27.3	79	4.6	2.3	28.2	1010.4	1011.1
25.9	85	4.3	2.3	28	1010.3	1011
25.2	86	0.1	1.9	27.6	1008.3	1008.9
25.8	90	0.1	2.5	29.7	1008.3	1009
28.1	80	5.1	2.9	30.2	1011.7	1012.4
26.7	81	9.4	2.9	27.9	1012.6	1013.3
25.9	80	3.4	3.3	26.4	1011.3	1012
25.5	74	11.6	2	23.9	1012.7	1013.4
24.5	84	1.2	2.4	25.9	1013	1013.7
24.7	71	9.3	2.1	22	1014.7	1015.4
21.9	80	5	2.1	20.7	1008.3	1009
23	73	2.2	3.7	20.2	1008.9	1009.6
21.8	82	0.1	3.9	21.2	1011.9	1012.6
23.6	68	5.1	3.1	19.7	1015	1015.7
21.1	74	2.7	2.9	18.3	1015.6	1016.3
21.7	62	10.7	4.2	15.6	1014.5	1015.2
23.5	83	7.6	2.3	23.9	1011.9	1012.5
23.7	84	7.5	1.6	24.4	1013.4	1014.1
23.1	84	2.2	1.9	23.6	1012	1012.7
23.9	76	12	2.9	22.3	1011.7	1012.3
22.3	63	10.7	2.4	16.8	1017.8	1018.5
21	72	7.1	1.7	17.6	1017.1	1017.8
21.2	77	9.6	1.8	19.1	1015	1015.7
22.4	67	11.7	4.7	17.6	1014.3	1015
23.3	66	1.4	4.2	18.8	1011.5	1012.2
22.9	73	9	2.6	20.3	1014.4	1015.1
22.1	71	11.9	2.2	18.3	1015.9	1016.6
24.6	52	11.8	4.2	16	1012.1	1012.8
22.9	79	2.4	2.7	21.6	1009.3	1009.9
22.8	77	5.7	3	21	1012.7	1013.4
21.7	72	6.3	2.8	18.8	1020.1	1020.8
20.5	70	11.4	2.4	16.8	1023	1023.7
20.3	68	1.5	5.4	16.1	1019.8	1020.5
21.7	61	10	4.4	15.6	1016.6	1017.3
22.5	62	8.5	4.1	16.6	1015.1	1015.8
23.7	60	10.4	4.6	17.4	1012.3	1013
24.1	70	6.4	2.8	20.7	1007.7	1008.4
20.9	81	6.1	2.8	19.7	1010.2	1010.9
20.7	81	9.6	2	19.7	1022.1	1022.8
22.3	64	10	2	16.9	1023.3	1024
23	72	4.1	3.1	19.9	1019.3	1020
19.4	77	2.1	2.5	17.3	1019.5	1020.2
20.7	74	10.6	1.7	18	1017.6	1018.3
22.2	79	1.3	2.6	21.3	1020.7	1021.4
22.1	73	8.3	3.3	19.2	1024.5	1025.2
23.9	66	10.1	3.5	19.5	1020.2	1020.9
19.7	84	2	2.4	19.1	1018.4	1019.1
18.8	75	10	1.9	15.9	1017.8	1018.5
19.3	79	3.2	2.6	17.5	1016	1016.7
17.7	90	0.1	2	18.3	1012.2	1012.9
12.4	74	6.1	2.1	10.5	1022.6	1023.3
14.9	70	5.8	2.9	11.7	1013.8	1014.5
13.8	75	2	5.4	11.7	1009	1009.7
12.4	69	1.8	3	9.9	1017.7	1018.4
12.8	71	5.6	2	10.2	1017	1017.7
12.7	63	1.3	3.9	9.3	1021.6	1022.3
12.5	79	5.9	2.3	11.3	1026.2	1026.9
13.7	70	2.5	2	10.8	1022.8	1023.5
14.4	89	0.3	1.8	14.4	1016.7	1017.4
14.8	83	2.3	1.9	13.7	1015.7	1016.4
16	64	4.2	3.1	11.6	1017.8	1018.5
13.8	69	1.4	2.2	10.8	1022.4	1023.1
14	75	7.8	1.9	11.8	1024.4	1025.1
14.7	74	3.1	1.8	12.2	1022.9	1023.6
15.3	80	4.8	1.3	13.8	1019.9	1020.6
14.5	90	2.6	1.5	14.9	1016.2	1016.9
14.1	81	3.4	2.3	12.8	1014.4	1015.1
13.6	78	6.8	2.2	11.8	1015.6	1016.3
12.4	83	6	1.9	11.7	1018.9	1019.6
12.4	79	10	1.6	11.1	1020.9	1021.6
13.2	73	9.9	2.1	10.8	1022.9	1023.6
17.3	62	9.1	7.3	12.2	1018.1	1018.8
13.2	75	1.8	5.8	11.3	1000.8	1001.5
13	74	0.7	6.4	10.9	1004.2	1004.9
9.6	85	0.2	3.4	10.1	1010.1	1010.8
9.9	90	1.2	2.6	11	1017	1017.7
11.5	80	5.8	2.4	10.7	1016.9	1017.6
12.1	91	1.3	2.2	12.8	1017.5	1018.2
11.4	77	3	1.7	10.3	1021.2	1021.9
9.8	77	9.5	1.3	9.1	1021.9	1022.6
11.1	77	1.5	1.8	10.1	1017.7	1018.4
13.5	75	7	2.5	11.5	1016.3	1017
11.4	64	8.2	1.6	8.4	1020.6	1021.3
10.2	73	3.7	2.1	8.8	1020.3	1021
10.1	63	2	7.8	7.8	1004.6	1005.3
7.9	79	1.4	7.6	8.5	1007.7	1008.4
10	79	0.6	4.5	9.7	1010.6	1011.3
8.4	72	0.2	3.7	7.8	1016.3	1017
7.3	66	1.7	4.7	6.8	1023.2	1023.9
7.5	73	1.1	2.6	7.5	1031.1	1031.8
6.2	77	8.8	2.4	7.1	1028.2	1028.9
9.2	60	8	4.8	6.7	1016.7	1017.4
9.9	77	0.3	6.5	9.5	1002.1	1002.8
5.3	77	2.8	5.1	6.8	1014.8	1015.5
7.5	77	8.3	3.4	7.9	1012.4	1013.1
5.9	86	0.2	3.8	8	1014.8	1015.5
5	86	1.1	2.1	7.7	1027.4	1028.1
8.1	86	7.6	1.2	9.1	1028.4	1029.1
7.3	74	6.5	2.8	7.4	1024.1	1024.8
9.1	89	2.3	2.2	10.3	1022.2	1022.9
5.3	60	0.4	6.6	5.4	1018.1	1018.8
6.4	67	7.3	2.5	6.4	1020	1020.7
7.3	85	0.2	2.9	8.6	1018.2	1018.9
0.9	73	3.3	6.3	4.7	1014.2	1014.9
3.1	93	1.1	2.5	7.1	1015.4	1016.1
9.3	78	2.6	4.5	9.2	1010.7	1011.4
5.7	58	2.7	4.7	5.3	1018.5	1019.2
4.8	71	0.6	3.3	6.2	1022.5	1023.2
5.5	87	0.3	2.2	7.8	1016.7	1017.4
-0.6	70	2.6	6.4	4.1	1013.8	1014.5
0.6	68	2.9	6.6	4.4	1015.5	1016.2
1.4	68	2.1	5.4	4.6	1022.8	1023.5
3.5	81	3.7	3	6.4	1016.9	1017.6
4.1	86	0.1	4.6	7	1007.8	1008.5
-0.7	73	0.2	7	4.3	1012.8	1013.5
0.7	70	3.3	6.1	4.5	1021.5	1022.2
3	74	3.5	4.5	5.6	1019.5	1020.2
2	81	0.4	3	5.7	1018.2	1018.9
1.3	83	0.2	5.5	5.6	1015.9	1016.6
0.5	74	1.3	3.9	4.7	1024.2	1024.9
0.8	75	4.8	2.1	4.8	1022.3	1023
2.6	70	4.9	5.1	5.1	1022.6	1023.3
3.5	70	4.8	3.4	5.5	1021.4	1022.1
3.7	75	7.5	1.2	5.9	1019.9	1020.6
4.9	76	0.1	4.8	6.7	1003.8	1004.5
1.8	70	2.9	8.6	4.9	1004.7	1005.4
1.4	74	1.9	6.1	5	1010.1	1010.8
4.4	58	4.2	4.2	4.8	1020.1	1020.8
3.1	88	0.3	3.1	6.8	1016.3	1017
1	73	3.6	6.6	4.8	1014.2	1014.9
0.9	92	0.4	2.6	6	1017.4	1018.1
1.3	77	2.3	4.5	5.2	1022.1	1022.8
2.9	79	5.2	1.9	5.8	1020.2	1020.9
3.9	64	0.1	3	5.2	1018.3	1019
3.4	67	3.1	1.2	5.1	1020.2	1020.9
4.7	82	4.2	2.6	7	1016.4	1017.1
4.4	64	5.4	4.5	5.3	1019	1019.7
3.3	64	1.1	4.1	4.9	1016.4	1017.1
1.9	63	2	4.2	4.4	1015.6	1016.3
1.6	71	2.1	4.3	4.9	1017.1	1017.8
2.4	74	3.3	2.9	5.3	1016.7	1017.4
2.5	76	3.3	3.5	5.5	1018.2	1018.9
0.3	69	1.6	5.6	4.3	1010.7	1011.4
0.4	64	2.1	6	4	1015.1	1015.8
1.5	68	2.4	3.1	4.6	1022.5	1023.2
1.1	92	0.1	1.7	6.1	1023.7	1024.4
2.2	79	1.8	1.7	5.6	1025	1025.7
2.2	87	0.9	1.4	6.1	1022.2	1022.9
3.3	85	4.1	2.5	6.5	1023.1	1023.8
4.6	62	1.7	1.8	5.2	1023.2	1023.9
3.3	59	6.4	1.8	4.6	1019.8	1020.5
3.6	73	2.1	4.2	5.9	1011	1011.7
1.9	91	0.7	3	6.3	1007.2	1007.9
1.2	84	1.6	3.7	5.6	1009.8	1010.5
3.8	76	3.1	4.3	6	1023	1023.7
3.3	78	1.5	1.8	5.9	1020.1	1020.8
0.1	66	4.3	7.5	4	1016	1016.7
1	60	5.1	5.7	4	1022.2	1022.9
2.4	70	5.5	4.4	5.1	1021.5	1022.2
4.5	76	3.8	4.5	6.3	1020.2	1020.9
6.3	72	5.1	3.5	6.7	1017.6	1018.3
5	65	0.9	4.4	5.7	1012.3	1013
6.3	73	1.9	3	6.9	1019.6	1020.3
6.1	80	2.2	3	7.4	1012.4	1013.1
5.7	71	6.9	2.3	6.4	1011.9	1012.6
4.9	67	2.7	4.5	5.8	1012	1012.7
5	54	7	2.7	4.7	1016.6	1017.3
5	69	2.9	5.2	6.1	1005.1	1005.8
3.2	73	4.7	7	5.5	1008	1008.7
4.4	73	3.2	3.3	6	1017.2	1017.9
4.7	67	8.6	1.8	5.5	1018.8	1019.5
5.4	63	8.8	1.7	5.5	1020.9	1021.6
6.4	72	7.7	1.7	6.9	1022.3	1023
9.6	57	8.6	3.2	6.4	1017.4	1018.1
10.6	65	8.6	2.4	8.1	1017.8	1018.5
10.7	67	0.5	2.1	8.5	1013.9	1014.6
9.5	76	3.2	5.8	9.1	1009.6	1010.3
8	80	7.4	2.1	8.5	1014.5	1015.2
7.7	68	3	3.3	7.2	1020.8	1021.5
6.1	91	0.4	2.6	8.5	1000.4	1001.1
5.6	70	1.2	3.6	6.4	1014.8	1015.5
4.3	82	2.4	2.3	6.8	1022.6	1023.3
4.1	67	4	1.9	5.4	1021.5	1022.2
4.7	61	4.6	2.2	5	1017.8	1018.5
8.1	74	3.5	3.6	8	1017.3	1018
10.3	62	10.4	2.5	7.5	1024.3	1025
10	81	3.7	3.4	10	1008.8	1009.5
8.6	55	6.9	3	6.1	1023	1023.7
8.8	62	3.8	1.9	6.9	1027.1	1027.8
12.6	63	10.3	2.5	9.1	1021.9	1022.6
6.9	47	6.3	3.6	4.7	1025.2	1025.9
6.3	53	7.3	2	5	1028.2	1028.9
8.1	65	8.4	1.9	7	1028.2	1028.9
10.4	87	7.9	1.7	10.9	1021.2	1021.9
10.7	74	3.7	2.7	9.4	1018.7	1019.4
10.4	69	9.3	2.6	8.7	1015.2	1015.9
8.8	66	9	3.3	7.5	1019	1019.7
14.1	52	12.2	3.1	7.6	1016.5	1017.2
17.5	46	11.5	2.5	8.8	1018.1	1018.8
17.5	50	10.8	2.1	9.7	1016.5	1017.2
17.8	54	12	2.2	10.6	1012.5	1013.2
14.3	75	4	2.7	12	1013.9	1014.6
8.9	82	3.6	2.7	9.3	1012	1012.7
9.7	70	12.7	1.7	8	1018.2	1018.9
12.4	66	6.5	1.6	9.3	1016.3	1017
11.3	68	9.2	2.1	9.1	1017.2	1017.9
12.9	58	12.4	1.9	8.4	1018	1018.7
17.7	48	8.8	2.3	9.4	1016	1016.7
14.9	85	0.6	3.2	14.4	1010.4	1011.1
12.8	78	2.4	2.3	11.6	1012.9	1013.6
15.6	72	5.4	2	12.6	1012	1012.7
18	71	10.8	1.9	14.5	1013.5	1014.2
14.1	75	2	2.5	12.4	1011.7	1012.4
12.1	66	12.4	2.4	9.2	1019.6	1020.3
11.2	82	1.8	2.9	10.9	1010.8	1011.5
10.4	68	8.5	2.5	8.4	1015.8	1016.5
10.8	69	7.6	2.3	8.6	1011.2	1011.9
11.3	71	10.4	3.2	9.2	1017.6	1018.3
16.1	54	12.8	3.4	9.2	1019.1	1019.8
18	47	13	1.9	9.4	1021.4	1022.1
18.9	55	13.1	2.1	11.6	1018.8	1019.5
18.9	62	11.2	3.2	13.1	1014.3	1015
13.7	54	12.2	2.8	8.5	1019	1019.7
13.5	51	6.9	1.6	7.7	1018.8	1019.5
13.8	65	13.4	2.1	10	1019.7	1020.4
19	46	12.2	3	9.7	1017.2	1017.9
19.9	62	5.6	1.8	14.3	1014.2	1014.9
20	84	3.4	2.3	19.6	1006.9	1007.6
16.6	87	2.6	3.5	16.6	1005.6	1006.3
15.2	71	5.2	2.2	12	1011.9	1012.6
15.4	64	4.1	1.6	10.9	1012	1012.7
16.1	79	2.8	1.2	14.4	1014.8	1015.5
18.2	58	13.1	1.9	11.2	1018.3	1019
19.8	49	9.3	3.3	10.7	1016.2	1016.9
20.6	51	5.5	2.2	11.9	1014.4	1015.1
19.5	65	0.3	2.2	14.7	1009.8	1010.5
18.3	79	5.1	2.2	16.5	1005.5	1006.2
17.1	83	4.4	2.4	16.2	1010.7	1011.4
